,udc,keywords
548,510,"['означиван', 'явля', 'пример', 'частичн', '\ufeff', 'тивн', 'алгебраическ', 'ограничен', 'фор', 'жеств', 'ющ', 'фундаментал', 'определ', 'сохраня', 'определен', 'булевозначн', 'резидуальн', '⇒', 'утвержден', 'операц', 'предложен', 'обобщен', 'теор', 'гомоморфизм', 'гедел', 'замечан', 'ран', 'коммутативн', 'норм', 'лукасевич', 'пуст', 'модел', 'решетк', 'логик', 'рассматрива', 'согласова', 'гда', 'так', 'невозраста', 'вест', 'зыва', 'зафиксиру', 'логик', 'отображен', 'зад', 'базов', 'означиван', 'дел', 'ат', 'свойств', 'информ', 'мат', 'равенств', 'пред', 'перв', 'обобщен']"
549,517,"['н', 'ы', 'р', 'э', 'пользовательск', 'функц', 'диагональн', 'чем', 'облада', 'сформулирова', 'заметк', 'орем', 'т', 'треугольн', 'разделен', 'интегральн', 'так', 'щ', 'превосходя', 'получа', 'изменен', 'г', 'поток', 'соответствен', 'качествен', 'мат', 'кром', 'привед', 'решен', 'сист', 'т', 'б', 'стр', 'см', 'работ', 'линейн', 'определ', 'нул', 'ов', 'университет', 'такж', 'сформулирова', 'сист', 'след', 'пуст', 'котор', 'миллионщик', 'у', 'минск', 'он', 'предел', 'ни', 'виноград', 'равн', 'функ', 'метрическ']"
550,510,"['кажд', 'формул', 'ранг', 'минимальн', 'набор', 'расширен', 'существ', 'модел', 'тип', 'определен', 'ясн', 'гипотез', 'ввод', 'постоя', 'явля', 'минимальн', 'класс', 'черн', 'конечн', 'ет', 'сильн', 'представ', 'формул', 'структур', 'те', 'отлича', 'люб', 'код', 'множеств', 'буд', 'случа', 'пол', 'определим', 'так', 'противн', 'числ', 'выбер', '⊂', 'непосредствен', 'точност', '⇒', 'одн', 'морл', 'тип', 'существ', 'пол', 'множеств', 'услов', 'добавлен', 'вышеупомянут', 'термин', 'язык', 'кром', 'структур', 'перестановк', 'явля']"
551,517,"['параметр', 'единствен', 'пограничн', 'функц', 'ряд', '–', 'завися', 'краев', 'видоизменен', 'войдут', 'реш', 'производн', 'устойчив', '\ufeff', 'х', 'услов', 'мал', 'п', 'так', 'ф', 'записа', 'одинаков', 'асимптотическ', 'изуча', 'поэт', 'го', 'произвольн', 'многочл', 'дифференциальн', 'ряд', 'а', 'г', 'рассмотр', 'свойств', 'зат', 'слага', 'коэффициент', 'уравнен', 'начальн', 'реш', 'исходн', 'использован', 'кх', 'прав', 'общ', 'предел', 'производн', 'определен', 'дифференциальн', 'образ', 'реш', 'сравнен', 'заключа', 'поставлен', 'однак', 'цел']"
552,517,"['\x03', '\x06', '\x0f', '\x12\x03', '\x12\x0f', '\x16', '\x05\x06', '\x03\x04\x04', '\x02', '\x06\x03', '\x18', '\x05', '\x0e', '\x17', '\x10', '\x03\x04', '\x04', '\x03', '\x18\x04\x02', '\x1b', '\x11', '\x00', '\x02\x16', '\x05\x08\x0f', '∇', '\x12\x03', '\x08\x1a', '\x05', '\x04', '\x1b', '\x18', '\x03', '\x1a', '\x03\x04', '\x18\x04', '\x03\x04\x05\x06', '\x04\x19', '\x0f', '\x04\x1b', '\x03\x04\x05', '\x02\x02\x11', 'общероссийск', '\x02', '\x04\x1b', '\x11\x0f', '\x02\x1b', '\x05\x02', '\x08\x1a', '\x00\x02', '\x03', '\x06\x0e', '\x11\x11', '\x11\x05', '\x11\x03\x08', 'общероссийск', '\x03\x04\x05\x04']"
553,512,"['элемент', 'алгебр', 'пуст', 'котор', 'явля', 'нул', 'единствен', 'утвержден', 'имеет', 'назов', 'множеств', 'ввид', 'теор', 'кратност', 'куст', 'а', 'числ', 'операц', 'вмест', 'дерев', 'ветв', 'степен', 'линейн', 'фильтрац', 'доказательств', 'смысл', 'знач', 'г', 'имеет', 'множеств', 'сил', 'произвольн', 'е', 'корнев', 'модул', 'пут', 'доказательств', 'изоморфизм', 'положительн', 'коэффициент', 'относительн', 'см', 'котор', 'дуг', 'длин', 'букв', 'куст', 'ни', 'входя', 'очевидн', 'например', 'мест', 'рас', 'эт', 'ав', 'всем']"
554,517,"['\x00', '\x17\x06\x0f', '\x19', '\x00\x02', '\x12\x0f', '\x05\x12', '\x06\x02\x08', '\x1a\x10\x06', 'ǳ\x1a', '\x1a\x17', 'подразумева', '\x03\x04', '\x04\x05\x19', '\x1a\x10', '\x00', '\x10', '\x06', '\x0f', 'æ', '\x16', '\x06\x16', '\x05\x05', '\x03\x02', '\x19\x05', '\x04\x05\x06\x07\x08', '\x17', 'фур', '\x12\x02', '\x02', '\x06', '\x0f\x10\x0f', '\x17\x06\x0f', '\x04', '\x00\x02\x03', '\x05\x06\x06', '\x06\x04\x05', 'непрерывн', '\x19\x16\x1a', '\x08', '\x19\x1a', '\x06\x12', '\x18\x05', '\x11', '\x18', '\x19\x1a', '\x06\x05\x0f', '\x16\x02', '\x02', '\x16\x16', '\x1a\x05', '\x05\x12', '\x05\x02', '\x1a\x02', '\x16\x0f', '\x12', '\x06\x1a']"
555,517,"['х', 'непрерывн', 'уравнен', 'общероссийск', 'определ', 'оптимальн', 'измерим', 'ство', 'проверк', '\ufeff', 'непрер', 'кусочнонепрерывн', 'определен', 'ура', 'решен', 'функц', 'существован', 'ограничен', 'средн', 'услов', 'значен', 'теорем', 'вмест', 'налож', 'следу', 'пуклост', 'рт', 'явля', 'управлен', 'непрерывн', 'класс', 'множеств', 'средн', 'оптимальн', 'вид', 'однак', 'измерим', 'соб', 'имеет', 'сохран', 'остальн', 'очевидн', 'систем', 'теорем', 'траектор', 'получ', 'важн', 'крив', 'границ', 'м', 'зада', 'режим', 'е', 'докаж', 'усл', 'задач']"
556,517,"['\x08', '\x12', '\x05\x04\x02', '\x11\x08\x08', '\x03\x04', '\x11\x08\x18', '\x11\x04\x02', '\x03\x08', '\x17\x06', '\x08\x08\x18', '\x05\x1b', '\x10\x06', '\x05\x11\x0f', '\x11\x08', '\x03\x04', '\x05', '\x17', '\x17\x08', '\x05\x19\x08', '\x08\x11', '\x05\x06', '\x1a', '\x16', '\x19', '\x11\x04\x03', '\x18\x08', '\x1b', '\x08\x03', '\x19', '\x04\x04', '\x06', '\x16', '\x02', '\x17\x03', '\x08\x11', '\x17', '\x06\x03\x06', '\x05\x04\x02', '\x08\x11\x04', '\x17\x04\x03', '\x04\x03', '\x02\x1b', '\x05', '\x04', '\x05\x06\x05', '\x04\x04', '\x00', '\x08\x02', '\x17\x08\x03', '\x03\x08\x04', '\x18\x0f\x19', '\x06\x05\x03', '\x05\x19', '\x04\x18', 'марковск', '\x18\x08']"
557,512,"['групп', 'пуст', 'след', 'морфизм', 'имеет', 'фиксирова', 'е', 'существ', 'явля', 'евклид', 'сдвиг', 'сопряжен', 'попарн', 'орбит', 'пространств', 'граф', 'φ', 'преобразован', 'автоморфизм', 'групп', 'элемент', 'существ', 'отождествля', 'устанавлива', 'перв', 'порожда', 'люб', 'вершиннопримитивн', 'орбит', 'конечн', 'кэл', 'решетк', 'числ', 'авт', 'автоморфизм', 'случа', 'структур', 'свойств', 'блок', 'импримитивн', 'гом', 'ства', 'образ', 'явля', 'пространств', 'кристаллографическ', 'граф', 'евклидов', 'групп', 'матриц', 'теорем', 'вершиннопримитивн', 'кажд', 'ва', 'называ', 'ен']"
558,519.4,"['\x03', '\x17', '\x02\x08\x03', '\x12', '\x10\x04', '\x08', '\x19', '\x03\x04\x0f', '\x0f', '\x00', '\x1a', '\x18\x08\x02', '\x19\x03', '\x12\x02', '\x08', '\x11', '\x04\x02', '\x16', '\x11\x12', '\x06', '–', 'акбар', '\x11\x11\x12', '\x00\x02\x03', '\x02\x03\x1b', '\x03\x1a\x03', '\x1a', '\ufeff', '\x00', 'κ', '\x11\x16', '\x10\x04', '\x03\x0f\x02', 'общероссийск', '\x04\x06', '\x05', '\x0e\x0f', '\x06\x05', '\x08', '\x06', '\x03\x03', '\x0e', '\x06', '\x00', '\x06\x17', '\x03\x16', '\x16\x19', 'ǳ', '\x04\x02', '\x02\x06\x03', '\x00\x02\x02\x03', '\x02\x11', '\x11\x08', '\x04\x10', '\x03\x02\x19', '\x03\x04\x03\x02']"
559,519.2,"['вариац', 'измерим', 'элемент', 'результат', 'сумм', 'отмет', 'мест', 'банахов', 'х', 'пуассоновск', 'рассмотрен', 'нен', 'луч', 'российск', 'пространств', 'банахов', 'явля', 'оценк', 'схем', 'борелевск', 'подмножеств', 'наш', 'так', 'оптимальн', 'несепарабельн', 'пуассоновск', 'случайн', 'индукц', 'случа', 'случайн', 'распредел', 'оценк', 'вектор', '«»', 'совпада', 'выполн', 'втор', 'некотор', 'общероссийск', 'чайн', 'тип', 'позволя', 'оценк', 'рх', 'неравенств', 'произвольн', 'вероятностн', 'указа', 'пр', 'полож', 'п', 'лля', 'прежд', 'ско', 'обознач', 'ограничен']"
560,514,"['компактн', 'вес', 'корн', 'помощ', 'форм', 'пуст', 'констант', 'соответств', 'рц', 'явля', 'родион', 'г', 'связн', 'дан', 'д', 'схем', 'алгебр', 'эйнштейнов', 'след', 'прост', 'некотор', 'нетривиальн', 'образ', 'формул', 'матриц', 'рассматрива', 'введ', 'мым', 'стандартн', 'случа', 'е', 'инвариантн', 'неприводим', 'казимир', '®', 'многообраз', 'ра', 'компактн', 'кривизн', 'транзитивн', 'пи', 'старш', 'представлен', 'групп', '€', '«', 'вес', 'действ', 'многообраз', 'ро', 'стандартн', '©', 'полупр', 'называ', 'случа', 'однородн']"
561,512,"['случа', 'спектр', 'семейств', '∧', 'квазитождеств', 'класс', 'рассмотр', 'найдут', 'метрическ', 'некотор', 'пуст', 'произвольн', 'определя', 'замкнут', 'алгебр', 'систем', 'замкнут', 'произвольн', 'непрерывн', 'следовательн', 'след', 'очевидн', 'прочита', 'описыва', 'рф', 'непр', 'ство', 'меньш', 'относительн', 'котор', 'непрерывн', 'обознача', 'кажд', 'доказательств', 'принадлеж', 'непуст', 'люб', 'множеств', 'так', 'противн', 'перемен', 'образован', 'достаточн', 'алгебр', 'универсальн', 'представлен', 'найдет', 'метрическ', 'совпада', 'называ', '∧', 'наибольш', 'мент', 'физм', 'квантор', 'элемент']"
562,517,"['ляпунов', 'услов', 'перв', 'так', 'дан', 'кажд', 'рассмотр', 'теор', 'квадратичн', 'числ', 'прав', 'ит', 'регулирован', 'ства', 'систем', 'рп', 'известн', 'линейн', 'отрицательн', 'сил', 'ся', 'реч', '\ufeff', 'ч', 'буд', 'рассматрива', 'сист', 'пришл', 'частотн', 'положительн', 'векторстолбец', 'о', 'ляпунов', 'та', 'разумеет', 'соглашен', 'добавлен', 'нр', 'независим', 'продифференциру', 'индекс', 'х', 'р', 'определен', 'сист', 'класс', 'поэт', 'систем', 'параметр', 'домнож', 'достаточн', 'вне', 'корн', 'доказа', 'порядк', 'нам']"
563,512,"['функц', 'квазилинейн', 'х', 'п', 'изоморфн', 'больш', 'конечн', 'получ', 'докаж', 'называ', 'полугрупп', 'подполугрупп', 'фундаментальн', 'формулировк', 'существен', 'алгебр', 'ра', 'поскольк', 'п', 'рассужден', 'тройк', 'определен', 'однак', 'принадлеж', 'согласова', 'обр', 'так', 'пуст', 'значен', 'удовлетворя', 'содерж', 'тех', 'е', 'л', 'дан', 'услов', 'относительн', 'явля', 'яблонск', 'найдет', 'ким', 'составл', 'множеств', 'существен', '«', 'е', 'подалгебр', 'универсальн', 'содерж', '„', 'эт', 'логик', 'аналог', 'полугрупп', 'ми', 'рассматрива']"
564,517,"['\x00', '\x02', '\x06', '\x19', 'ǳ', '\x05\x19', '\x12\x08\x05', '\x16', 'волчк', '\x1a\x1a', '\x03\x08\x05', '\x00\x03\x08', '\x06\x19\x05', '\x02\x03', '\x03', '\x04', '\x18', '\x06', '\x00', '\x17', '\x11', '\x06\x06', '\x02\x18', '\x03\x04', '\x05', '\x04\x17', '\x02\x1a', '\x00\x02\x02\x02', '\x12', '\x00', '\x02\x19', '\x19', '\x08', '\x17\x18\x05', '\x19\x17', '\x1b', '\x02\x03', '\x03', '\x03\x19\x04', 'ǳ\x05', '\x02\x02\x05', '\x02\x11', '\x08', '\x04', '\x03', '\x16', '\x17', '\x03\x05', '\x03\x19', '\x08\x17\x03', '\x03\x18\x05', '\x19\x17', '\x1a\x05', '\x12\x12', '\x17\x05', '\x04\x05']"
565,517,"['услов', 'р', 'подстановк', 'х', 'г', 'полож', 'запишет', 'факт', 'член', 'полаг', 'такж', 'представля', 'дх', 'кром', 'х', 'ух', 'уравнен', 'обознач', 'устойчив', 'посредств', 'получа', 'общероссийск', 'рациональн', 'математическ', 'нх', 'ц', 'ряд', 'июн', 'решен', 'сут', 'р', 'асимптотическ', 'зр', 'котор', 'кот', 'област', 'диф', 'стр', 'порта', 'ш', 'отр', 'ду', 'функц', 'сист', 'х', 'обраща', 'найден', 'ряд', 'уд', 'нечетн', 'обознач', 'доказыва', 'зап', 'зу', 'соглашен', 'соот']"
566,510,"['люб', 'имеет', 'допуска', 'описан', 'логик', 'имен', 'лен', 'поддержк', 'релятивизац', 'алгебраич', 'ет', 'подробн', 'произвольн', 'образ', 'линейн', 'логик', 'следующ', 'порядк', 'кажд', 'явля', 'отношен', 'предста', 'алгеб', 'каф', 'н', 'вуз', 'соседств', 'представлен', 'порядок', 'люб', 'ссгончар', 'порядк', 'имеющ', 'ясн', 'говор', 'сов', 'общероссийск', 'номер', 'известн', 'категорич', 'мог', 'автор', 'порядк', 'относительн', 'степен', 'явля', 'основн', 'алгебр', 'существ', 'вычислим', 'сих', 'коп', 'совпаден', 'адрес', 'эт', 'унт']"
567,517,"['существ', 'шп', 'х', 'банахов', 'перв', 'получа', 'центр', 'непрерывн', '€', 'введен', 'нам', 'подраз', 'определ', 'сло', 'борсук', 'непрерывн', 'единичн', 'люб', 'шар', 'перв', 'задач', 'о', 'внешн', 'представлен', 'вв', 'числ', 'зи', 'дп', 'неравенств', 'функц', 'пуст', 'услов', 'например', 'границ', 'пространств', 'св', 'лин', 'согласн', 'лемм', 'борсук', 'щ', 'ди', 'г', 'функц', 'нул', 'дг', 'услов', 'оператор', 'минимальн', 'сю', 'имеющ', 'называ', 'з', 'определен', 'границ', 'множеств']"
568,511,"['\x02', '\x00\x02\x03', '\x15', '\x08', '\x03', '\x00', '\x03\x1a', '\x05\x03', '\uf8f8', '\x1b\x0f', '\x17\x05', '\x05\x1a', '\x07', '\x1a\x08', '\x07', '\x03', '\x17', '\x05\x03', '\x04', '\x12\x03\x03', '\x15', '\x18', '\ufeff', '\x17\x05\x18', '\x04\x17\x03', '\x00\x04\x03', '\x12\x06', '\x18\x02\x06', '\x00\x03', '\x11\x11', '\x11', '\x1a', '\x18', '\x00\x04\x03', '\x17', '\x08\x04', '\x15', '\x05\x08', '\x17\x18', '\x06\x02\x03', '\x06\x08\x06', '\x04\x05\x06', '\x03', '\x11', '\x12\x03', '\x05', '\x00', '\x03\x1a', '\x08\x05\x08', '\x07', '\x06', '\x12\x03\x12', '\x1b', '\x07\x08', '\x04\x08', '\x05\x08']"
569,517,"['е', 'решен', 'х', 'корн', 'имеет', 'вектор', 'мал', 'выш', 'т', 'област', 'д', 'выйдет', 'щ', 'строк', 'е', 'условн', 'постоя', 'функ', 'зада', 'устойчив', 'дифференциальн', 'июн', 'непрерывн', 'вдол', 'рассматрива', 'н', 'замен', 'согласн', 'времен', 'зада', 'функц', 'условн', 'соответств', 'аналогичн', 'систем', 'област', 'кажд', 'преобразован', 'и»', 'нахожден', 'эт', 'скаляр', 'р', 'теорем', 'услов', 'нулев', 'предполож', 'непрерывн', 'возмущен', 'вид', 'форм', 'люб', 'добавлен', 'поставлен', 'б', 'сительн']"
570,517,"['х', 'удовлетворя', 'максимум', 'ин', 'часов', 'ух', 'пок', 'сле', 'удк', 'координат', 'пер', 'длин', 'дающ', 'врем', 'точк', 'х', 'вектор', 'траектор', 'книг', 'выпукл', 'означа', 'удовлетворя', 'о', 'концев', 'порядк', 'выражен', 'сторон', 'име', 'дх', 'касательн', 'ос', 'объект', 'полож', 'конц', 'стрелк', 'том', 'одномерн', 'оказа', 'положен', 'област', 'июн', 'интервал', 'ос', 'сил', 'управлен', 'фазов', 'обознач', 'хх', 'рассмотр', 'одн', 'функц', 'систем', 'сохраня', 'котор', 'х', 'объект']"
571,517,"['равномерн', 'явля', 'обознача', 'фильтр', 'ас', 'аналогичн', 'пуст', 'ся', 'сил', 'построен', 'найдет', 'операц', 'плотн', 'рассматрива', 'внутрен', 'семейств', 'услов', 'х', 'т', 'расширен', 'направл', 'доказательств', 'принцип', 'р', 'мощност', 'вид', 'подмножеств', 'сист', 'х', 'га', 'кош', 'помощ', 'отображен', 'носильн', 'объединен', 'символ', 'изоморфизм', 'л', 'анализ', 'сигнатур', 'тополог', 'утвержден', 'нестандартн', '®', 'принцип', 'равномерн', 'рав', 'произвольн', 'символ', 'тополог', 'общ', 'называ', 'центрирова', 'кош', 'а', 'ци']"
572,517,"['п', 'ство', 'поверхн', 'гиперболическ', 'х°', 'стабилизир', 'равномерн', 'ям', 'частн', 'определен', 'абстрактн', 'явн', 'шен', 'ф«', 'управлен', 'стабилизир', 'х', 'точ', 'бот', 'ьщ', 'упруг', 'какойт', 'рассматрива', 'су', 'мева', 'слаб', 'слага', 'следств', 'задач', 'сист', 'точн', 'пар', 'волнов', 'эволюцион', 'общероссийск', 'лион', 'некотор', 'след', 'непрерывн', 'компактн', 'применен', 'мерн', 'услов', 'област', 'образ', 'е', 'облада', 'систем', 'линейн', 'граничн', 'мы', 'компонентн', 'щи', 'распр', 'уд', 'нелинейн']"
573,512,"['прост', 'котор', 'периодическ', 'доказательств', 'раз', 'натуральн', 'явля', 'аналогичн', 'всяк', 'получа', 'вполн', 'наследствен', 'одн', 'наибольш', '∧', 'многообраз', 'решетк', 'услов', 'букв', 'полож', 'знач', 'след', 'некотор', 'слаб', 'люб', 'легк', 'тип', 'см', 'слаб', 'многообраз', 'имеет', 'инвариантн', 'вполн', 'выполня', 'содерж', 'так', 'подмногообраз', 'теорем', 'интерва', 'одн', 'дел', 'многооб', 'всяк', 'регулярн', 'явля', 'лемм', '⊇', 'люб', 'пуст', 'описан', 'модулярн', 'вполн', 'гообраз', 'следовательн', 'слаб', 'частн']"
574,517,"['решен', 'лемм', 'систем', 'прич', 'утвержден', 'ход', 'работ', 'лежат', 'остальн', 'уравнен', 'рассматрива', 'найдет', 'л', 'р', 'угол', 'вытека', '°', 'числ', 'миллионщик', '–', 'общероссийск', 'стрелк', 'получа', 'ц', 'постро', 'построен', 'ы', 'существован', 'сист', 'имеет', 'существ', 'докаж', 'сил', 'з', 'дает', 'превосход', 'услов', 'начальн', 'ло', 'положительн', 'периодичн', 'памят', 'облада', 'полож', 'тг', 'пользовательск', 'пуст', 'коэффициент', 'всяк', 'немыцк', 'лемм', 'дифференциальн', 'стрелк', 'систем', 'угол', 'числ']"
575,517,"['\x11', '\x05', '\x16', '\x17', '\x00\x02', '\x13', '\x12\x00', '\x06', 'номер', '\x18\x04', '\x11\x12\x18', 'параметр', '\x02\x16', '\x0f\x17', '\x18', '\x08', '\x05\x02\x04', '\x11\x12', '\x00\x02\x03', '\x04', '\x0f', '\x11\x18', '\x03\x02', '\x07\x02', '\x08\x15', '\x18\x18', '√', '\x02\x02\x02', '\x16', '\x05\x0f', '\x06\x02', '\x0f', '\x00', '\x05', '\x08\x06', '\x07\x08', '\x06\x00\x04', '\x12', '\x18', '\x08', '\x05\x06\x05', '\x06\x00', '\x04', '\x02\x05', '\x02', 'æ', '\x06\x06', '\x12\x00', '\x02\x02\x02', '\x08\x04\x08', '\x08', '\x04\x08\x16', '\x16\x0f\x06', '\x16\x04', '\x19', '\x05\x07\x08']"
576,517,"['функц', 'г', 'дирихл', 'координат', 'декабр', 'е', 'докаж', 'тон', 'рп', 'д', 'общероссийск', 'соглашен', 'отмет', 'равенств', 'формул', 'г', 'е', 'центр', 'ряд', 'докаж', 'пользу', 'полином', 'вниман', 'сил', 'рг', 'произвольн', 'соответств', 'математическ', 'фр', 'шар', 'нул', 'задач', 'решен', 'поступ', 'выражен', 'констант', 'ци', 'учитыв', 'н', 'последн', 'искрен', 'теорем', 'ф', 'г', 'неравенств', 'получ', 'утвержден', 'фг', 'уел', 'обозначен', 'школ', 'задач', 'примен', 'литератур', 'обознач', 'полином']"
577,512,"['ðåø¼òêè', 'ñòàíäàðòåí', 'ñ', 'âñåõ', '℄', 'åñëè', 'ýëåìåíòîì', 'òåî', 'åìà', 'òîãäà', 'èçîìîð', 'íà', '\x16', 'òåîðåìà', 'íà', 'äëÿ', 'êàê', 'ïîðîæäàþùèõ', 'äâà', 'ñ', 'òîëüêî', 'êîãäà', 'ìîæíî', '–', 'òàêàÿ', 'математическ', 'ïîñêîëüêó', 'êîòîðûõ', 'ýëåìåíòîâ', 'ýëåìåíòû', 'ìåæäó', 'ñî', 'г', 'ì', 'áîëåå', 'å¼', 'áóäåò', 'åñëè', 'äâà', 'îïðåäåëÿåòñÿ', 'äàííîé', 'êàê', 'ýëåìåíòû', 'îäèí', 'à', 'ï', '÷òî', 'ýòîé', 'ïîðîæä¼ííàÿ', 'â', 'параметр', 'ëîãèêà', 'ýòîò', 'ñâîéñòâîì', 'àëãåáû', 'ýòèõ']"
578,517,"['\x19\x0f', '\x17', '\x07', '\x02', '\x02\x04\x05', '\x0f', '\x06\x05\x08', '\x11\x12', '\x03\x02\x03', '\x19\x08\x08', '⊂', '\x19\x19', '\x12\x16', '\x04\x06\x03', '\x16', '\x19\x16', '\x11', '\x18\x02\x16', '\x08\x03\x17', '\x04\x06', '\x08\x03', 'ǳ\x11', '\x0e\x0e', '\x16\x16', 'соглашен', '\x03\x04', 'дан', 'сб', '\x02', '\x1b', '\x18\x02', '\x17', '\x08\x03\x0f', '\x19\x03', '\x06\x16', '\x14', '\x1a\x1b', '\x18\x02\x19\x16\x02\x08\x19\x16', '\x08\x03', '\x04\x06\x03', '\x11\x11\x12', '\x12\x11', '\x00', '\x18', '\x03', '\x02', '\x19\x16\x12', '\x1b', '\x18\x05', '\x17\x03', '\x06\x16', 'гласн', '\x04\x0f', '\x16\x03\x17', '\x02\x08\x03', '\x19\x03\x05']"
579,517,"['\x12\x10\x12', '\x10', '\x04\x06', '\x04\x05\x06', '\x02', '\x12\x10', '\x05\x06', '\x19\x02\x10\x02\x19', '\x04', '\x11', '\x1a', 'общероссийск', '\x05\x03', '\x00\x02', '\x10', '\x12\x16\x10\x06', '\x12', '\x02', '\x16\x10\x12\x06\x03', '\x06\x10\x06', '\x06\x04', '\x03', '\x02\x03', '\x19\x06', '\x19', '\x04\x1b', '\x06', '\x06\x12\x10', '\x12', '\x05', '\x06\x04\x08', '\x06\x19\x06', '\x12\x12', '\x12\x1b', '\x1a', '\x04', '\x12\x16\x06\x10\x02', '\x12\x05\x03', '\x12\x0f', '\x19\x06', '\x11\x06', '\x12\x05\x18', '\x03', '\x03\x02', '\x16\x10', '\x04', '\x02\x02', '\x06\x10\x06\x19', '\x02\x05\x18', '\x06\x18', '\x06\x05\x06', '\x06\x1b', '\x02\x02\x0f', '\x04\x02', '\x12', '\x04\x06']"
580,517,"['\x05', '\x05\x02\x03', '\x02', '\x0f', '\x12', '\x1b', '\x10\x02', '\x03\x02', '\x05\x1a', '\x11\x02', '\x03\x12', '\x05\x02', '\x03\x12\x06', '\x11', '\x00', '\x08', '\x03', '\x05\x06', '\x03\x12', '\x17\x18', '\x16\x17', '\x02\x03', '\x05\x05', '\x05\x02\x05', '\x05\x0f\x17', '\x03\x0f\x05', '\x02\x03\x17', '\x03\x04', '\x06', '\x00', '\x08', '\x05\x0f\x12', '\x05\x06', '\x11\x05', '\x05\x12\x08', '\x03\x10\x06', '\x08\x06', '\x16', '\x03\x12\x08', '\x12\x03\x12', 'математическ', '\x10\x05\x17', '\x12', '\x05\x04\x02\x03', '\x00', '\x08\x06', '\x16\x08', '\x08\x08', '\x05', '\x05\x02\x1b', '\x03\x05', '\x06\x08', '\x12\x02\x06', '\x03', '\x0f', '\x16\x08\x08']"
581,517,"['тождеств', 'достаточн', 'а', 'определ', 'так', 'равенств', 'т', 'рав', 'свойств', '«', 'обобща', 'та', 'матриц', 'слу', 'ехр', '°', 'вид', 'имеют', 'иском', 'х', 'непрерывн', '–', 'минск', 'согласн', 'ав', 'равенств', 'образ', 'выполн', 'уравнен', 'имеет', 'систем', 'ср', 'сист', 'согласн', 'как', 'мес', 'кратк', 'примен', 'нул', 'ар', 'конечн', 'буд', 'вид', 'систем', 'некотор', 'услов', 'ср', 'равн', 'г', 'порядк', 'интегральн', 'свойств', 'необходим', 'делител', 'сообщен', 'мест']"
582,517,"['существ', 'сверх', 'д', 'удовлетворя', 'явля', 'сильн', 'л', 'длин', 'включен', 'соответств', 'ослаблен', 'убед', 'прав', 'пра', 'х', 'е', 'имеет', 'использ', '»', 'справ', 'перв', 'сильн', 'отрезк', 'теорем', 'ду', 'б', 'фиксирова', 'квазир', 'пуст', 'е', 'всюд', 'у', 'кош', 'каратеодор', 'уд', 'слаб', 'продолжен', 'удк', 'относительн', 'учет', 'доказательств', 'согласн', 'услов', 'предел', 'примен', 'р', 'ре', 'матрос', 'квазирешен', 'стр', 'переход', 'каратеодор', 'су', 'провест', 'векторфункц', 'введен']"
583,517,"['принадлеж', 'либ', 'класс', 'существ', 'част', 'гих', 'применен', 'исследова', 'ет', 'творя', 'параметр', 'начн', 'легк', 'ура', 'о', 'т', 'решен', 'доказательств', 'со', 'ограничен', 'выполнен', 'подобн', 'гладк', 'нелинейн', 'рх', 'неравенств', 'соответств', 'удовл', 'кош', 'решен', 'р', 'задач', 'вид', 'степен', 'теор', 'выполня', 'д', 'убыва', 'нен', 'хл', 'линейн', 'вольтерр', 'либ', 'класс', 'неравенств', 'задач', 'случа', 'влетворя', 'сг', 'последн', 'ограничен', 'выш', 'ин', 'поскольк', 'сил', 'поненциальн']"
584,517,"['\x07', '\x03', '\x16', '\x08', '\x03\x11', 'общероссийск', '\x05', '\x17\x12', '\x15', '\x16\x11\x16', '\x17', '\x0f\x16', '\x1b\x1b', '\x1b', '\x02', '\x03', '\x00', '\x00\x02', '\x03\x05', '\x06', '\x12', '\x08\x04', '\x14', '\x16', '\x03\x04', '\x08\x10', '\x10\x02', '\x18', '\x12', '\x08', '\x08\x11', '\x1b\x16', '\x11\x00', '\x08\x0f', '\x00', '\x04', '\x04\x1b', 'ǳ\x03', '\x03\x11\x08', 'гласн', '\x03\x10\x03\x04', '\x03\x08\x11', '\x00', '\x17', '\x11', '\x03\x04', '\x11\x08\x17', '\x11\x16\x17', 'загрузк', '\x11\x08', 'пользовательск', '\x11\x10\x08', '\x03\x18', '\x03\x10', '\x11\x1b', '\x17\x11\x04']"
585,517,"['кажд', 'порядк', 'коэффициент', 'инт', 'вательн', 'рассматрива', 'абсолютн', 'интегральн', 'пуст', 'ориентац', 'функц', 'предположен', 'высок', 'ус', 'функц', 'ряд', 'перемен', 'коэффициент', 'сходим', 'поэт', 'алгебраическ', 'тейлор', 'асимптотик', 'следовательн', 'рациональн', 'кош', 'вид', 'след', 'ряд', 'круг', 'последовательн', 'явля', 'фур', 'ограничен', 'пересека', 'област', 'положительн', 'дк', 'поверхн', 'решен', 'зом', 'рав', 'асимптотическ', 'функц', 'сход', 'котор', 'асимптотик', 'согласн', 'поликруг', 'вопрос', 'так', 'те', 'член', 'люб', 'характеристик', 'ст']"
